doc_name,date,auteur,titre,canon,gender,naissance,mort,genre
1880_Maizeroy-Rene_Mora-Les-Deux-femmes-de-Mademoiselle,1880,maizeroy rene,mora les deux femmes de mademoiselle,non_canon,male,1856,1918,nouvelles
1847_Achard-Amedee_Belle-Rose,1847,achard amedee,belle rose,non_canon,male,1814,1875,roman historique
1945_Gracq-Julien_Un-beau-tenebreux,1945,gracq julien,un beau tenebreux,canon,male,1910,2007,
1889_Darien-Georges_Bas-les-coeurs,1889,darien georges,bas les coeurs,non_canon,male,1862,1921,
1954_San-Antonio_Deuil-express,1954,san antonio,deuil express,non_canon,male,1921,2000,érotisme
2010_Forest-Philippe_Le-Siecle-des-nuages,2010,forest philippe,le siecle des nuages,canon,male,1962,20..,roman historique
1878_Cornely-Jules_L-Oeil-du-diable,1878,cornely jules,l oeil du diable,non_canon,male,1845,1907,roman d'aventures
1973_Rolin-Dominique_Lettre-au-vieil-homme,1973,rolin dominique,lettre au vieil homme,non_canon,female,1913,2012,mémoires et autobiographie
2007_Jourde-Pierre_Carnet-d-un-voyageur-zoulou,2007,jourde pierre,carnet d un voyageur zoulou,non_canon,male,1955,20--,
1847_Sue-Eugene_Martin-l-enfant-trouve_Tome-I,1847,sue eugene,martin l enfant trouve,canon,male,1847,1847,cycles et séries
1876_Theuriet-Andre_La-Fortune-d-Angele,1876,theuriet andre,la fortune d angele,non_canon,male,1833,1907,
1873_Rousset-Alexis_Derailles-et-declasses-Paris-et-la-province_Tome-1,1873,rousset alexis,derailles et declasses paris et la province,non_canon,male,1799,1885,
1846_Gay-Sophie_Ellenore_Volume-II,1846,gay sophie,ellenore,non_canon,female,1776,1852,
1908_Zevaco-Michel_La-Fausta,1908,zevaco michel,la fausta,non_canon,male,1860,1918,roman d'aventures
1998_Jonquet-Thierry_Moloch,1998,jonquet thierry,moloch,non_canon,male,1954,2009,policier
2010_Gailly-Christian_Lily-et-Braine,2010,gailly christian,lily et braine,non_canon,male,1943,20--,
1888_Zola-Emile_Le-reve,1888,zola emile,le reve,canon,male,1840,1902,cycles et séries
1969_Mauriac-Francois_Un-adolescent-d-autrefois,1969,mauriac francois,un adolescent d autrefois,canon,male,1885,1970,
1843_Balzac-Honore-de_Histoire-des-Treize,1843,balzac honore de,histoire des treize,canon,male,1799,1850,cycles et séries
1916_Zevaco-Michel_Don-Juan,1916,zevaco michel,don juan,non_canon,male,1860,1918,roman d'aventures
1991_Combescot-Pierre_Les-filles-du-Calvaire,1991,combescot pierre,les filles du calvaire,non_canon,male,1940,2017,roman historique
1839_Dumas-Alexandre_Acte,1839,dumas alexandre,acte,canon,male,1802,1870,roman historique
1862_Chevalier-H-Emile_La-Tete-Plate,1862,chevalier h emile,la tete plate,non_canon,male,1828,1879,roman d'aventures
1881_Desbeaux-Emile_Les-Pourquoi-de-mademoiselle-Suzanne,1881,desbeaux emile,les pourquoi de mademoiselle suzanne,non_canon,male,1845,1903,
1960_Kessel-Joseph_Les-Mains-du-miracle,1960,kessel joseph,les mains du miracle,canon,male,1898,1979,biographie
1950_Delly_Le-violon-du-tzigane,1950,delly,le violon du tzigane,non_canon,female,1875,1947,roman sentimental
1981_Ernaux-Annie_La-femme-gelee,1981,ernaux annie,la femme gelee,canon,female,1940,XXXX,mémoires et autobiographie
1839_Stendhal_La-Chartreuse-de-Parme,1839,stendhal,la chartreuse de parme,canon,male,1783,1842,
1911_Marchal-Gustave_Tante-Meteore,1911,marchal gustave,tante meteore,non_canon,male,1833,1916,littérature jeunesse
1875_L-Epine-Ernest_a-coups-de-fusil,1875,l epine ernest,a coups de fusil,non_canon,male,1826,1893,
1864_Segur-comtesse-de_François-le-Bossu,1864,segur comtesse de,françois le bossu,non_canon,female,1799,1874,littérature jeunesse
1837_Sabatier-de-Castres-Camille_La-Colonie-chretienne_histoire-de-plusieurs-deportes-jetes-par-un-naufrage-dans-une-ile-deserte,1837,sabatier de castres camille,la colonie chretienne,non_canon,male,17..,18..,
1948_Leroux-Gaston_Cheri-Bibi-et-Cecily,1948,leroux gaston,cheri bibi et cecily,non_canon,male,1868,1927,policier
1845_Sue-Eugene_La-coucaratcha_Tome-II,1845,sue eugene,la coucaratcha,canon,male,1804,1857,roman d'aventures
1862_Segur-comtesse-de_La-soeur-de-Gribouille,1862,segur comtesse de,la soeur de gribouille,non_canon,female,1799,1874,littérature jeunesse
1879_Sauniere-Paul_Le-Legs-du-pendu,1879,sauniere paul,le legs du pendu,non_canon,male,1827,1894,
2003_Ferney-Alice_Dans-la-guerre,2003,ferney alice,dans la guerre,non_canon,female,1961,20--,roman historique
1869_Carraud-Zulma-Tourangin-Mme_Les-Gouters-de-la-grand-mere,1869,carraud zulma tourangin mme,les gouters de la grand mere,non_canon,female,1796,1889,littérature jeunesse
1951_Simenon-Georges_Maigret-et-la-grande-perche,1951,simenon georges,maigret et la grande perche,canon,male,1903,1989,policier
1878_Bouvier-Alexis_La-Grande-Iza,1878,bouvier alexis,la grande iza,non_canon,male,1836,1892,roman d'aventures
1867_Ponson-du-Terrail-Pierre_La-Verite-sur-Rocambole,1867,ponson du terrail pierre,la verite sur rocambole,non_canon,male,1829,1871,roman d'aventures
1827_Inconnu_Le-rocher,1827,inconnu,le rocher,non_canon,female,1???,1???,roman historique
1930_Giono-Jean_Regain,1930,giono jean,regain,canon,male,1895,1970,cycles et séries
1845_Dumas-Alexandre_Le-batard-de-Mauleon_II,1845,dumas alexandre,le batard de mauleon,canon,male,1802,1870,roman d'aventures
1922_France-Anatole_La-vie-en-fleur,1922,france anatole,la vie en fleur,canon,male,1844,1924,mémoires et autobiographie
1957_Vailland-Roger_La-Loi,1957,vailland roger,la loi,non_canon,male,1907,1965,
1960_Simon-Claude_La-Route-des-Flandres,1960,simon claude,la route des flandres,canon,male,1913,2005,roman historique
1888_Boisgobey-Fortune-du_L-Oeil-de-chat_Tome1,1888,boisgobey fortune du,l oeil de chat,non_canon,male,1821,1891,policier
1961_Troyat-Henri_La-gloire-des-vaincus,1961,troyat henri,la gloire des vaincus,non_canon,male,1911,2007,roman historique
1923_Delly_La-chatte-blanche,1923,delly,la chatte blanche,non_canon,female,1875,1947,roman sentimental
1919_Delly_Magali,1919,delly,magali,non_canon,female,1875,1947,roman sentimental
1883_Guy-de-Maupassant_Contes-de-la-Becasse,1883,guy de maupassant,contes de la becasse,canon,male,1850,1893,nouvelles
1846_Feval-Paul_Le-Fils-du-diable_Tome-II,1846,feval paul,le fils du diable,non_canon,male,1816,1887,roman d'aventures
1836_Igonette-T._Le-Valmont-de-la-jeunesse_ou-le-Triomphe-des-vertus-sur-les-egarements-de-la-raison-mis-a-la-portee-des-jeunes-gens-des-deux-sexes__tome-1),1836,igonette t.,le valmont de la jeunesse,non_canon,,1???,1???,épistolaire
1883_Dupuit-Albert_Pauline-Tardivau-etude-de-la-vie-de-province,1883,dupuit albert,pauline tardivau etude de la vie de province,non_canon,male,18??,1???,
2012_Deville-Patrick_Peste-et-cholera,2012,deville patrick,peste et cholera,non_canon,male,1957,unknown,biographie
1879_Greville-Henry_La-Niania,1879,greville henry,la niania,non_canon,female,1842,1902,
2002_Ernaux-Annie_L-Occupation,2002,ernaux annie,l occupation,canon,female,1940,20--,mémoires et autobiographie
1848_Dumas-Alexandre_La-dame-aux-camelias,1848,dumas alexandre,la dame aux camelias,canon,male,1824,1895,
1883_Renan-Ernest_Souvenirs-d'enfance-et-de-jeunesse,1883,renan ernest,souvenirs d'enfance et de jeunesse,canon,male,1823,1892,mémoires et autobiographie
1955_San-Antonio_Le-fil-a-couper-le-beurre,1955,san antonio,le fil a couper le beurre,non_canon,male,1921,2000,érotisme
1860_Segur-comtesse-de_Les-Memoires-d-un-ane,1860,segur comtesse de,les memoires d un ane,non_canon,female,1799,1874,littérature jeunesse
1835_Woillez-Catherine_Le-Robinson-des-demoiselles,1835,woillez catherine,le robinson des demoiselles,non_canon,female,1781,1859,littérature jeunesse
1859_Feval-Paul_Le-Roi-des-gueux,1859,feval paul,le roi des gueux,non_canon,male,1816,1887,roman d'aventures
1885_Greville-Henry_Clairefontaine,1885,greville henry,clairefontaine,non_canon,female,1842,1902,
1897_Gerald-Montmeril_Chryseis-au-desert,1897,gerald montmeril,chryseis au desert,non_canon,female,,,littérature jeunesse
1963_San-Antonio_Le-coup-du-pere-Francois,1963,san antonio,le coup du pere francois,non_canon,male,1921,2000,érotisme
1840_Replat-Jacques_Le-sanglier-de-la-foret-de-Lonnes-esquisse-du-comte-de-Savoie-a-la-fin-du-XIVe-siecle,1840,replat jacques,le sanglier de la foret de lonnes esquisse du comte de savoie a la fin du xive siecle,non_canon,male,1807,1866,roman historique
1930_Delly_Gille-de-Cesbres,1930,delly,gille de cesbres,non_canon,female,1875,1947,roman sentimental
1942_Veuzit-Max-du_Moineau-en-cage,1942,veuzit max du,moineau en cage,non_canon,female,1876,1952,roman sentimental
1924_Hemon-Louis_Colin-Maillard,1924,hemon louis,colin maillard,non_canon,male,1880,1913,
2005_Begaudeau-François_Un-democrate-Mick-Jagger,2005,begaudeau françois,un democrate mick jagger,non_canon,male,1971,20--,non-fiction
1907_Apollinaire-Guillaume_Les-Onze-mille-verges-ou-les-Amours-d-un-hospodar,1907,apollinaire guillaume,les onze mille verges ou les amours d un hospodar,canon,male,1880,1918,érotisme
1877_Witt-Henriette-de_Scenes-historiques,1877,witt henriette de,scenes historiques,non_canon,female,1829,1908,roman historique
1899_Le-Rouge-Gustave_La-Conspiration-des-milliardaires_Tome-I,1899,le rouge gustave,la conspiration des milliardaires,non_canon,male,1867,1938,roman d'aventures
2002_Gaude-Laurent_La-Mort-du-roi-Tsongor,2002,gaude laurent,la mort du roi tsongor,non_canon,male,1972,20--,roman historique
1924_Radiguet-Raymond_Le-Bal-du-comte-d-Orgel,1924,radiguet raymond,le bal du comte d orgel,non_canon,male,1903,1923,
1881_Berthet-Elie_Le-Charlatan,1881,berthet elie,le charlatan,non_canon,male,1815,1891,
2005_de-Vigan-Delphine_Les-jolis-garçons,2005,de vigan delphine,les jolis garçons,non_canon,female,1966,20--,
2016_Foenkinos-David_Le-mystere-Henri-Pick,2016,foenkinos david,le mystere henri pick,non_canon,male,1974,20..,
1889_France-Anatole_Thais,1889,france anatole,thais,canon,male,1844,1924,roman historique
1956_Magali_Saison-perdue,1956,magali,saison perdue,non_canon,female,1898,1986,roman sentimental
1919_Bazin-Rene_Les-Nouveaux-Oberle,1919,bazin rene,les nouveaux oberle,non_canon,male,1853,1932,
1854_Dumas-Alexandre_La-jeunesse-de-Pierrot,1854,dumas alexandre,la jeunesse de pierrot,canon,male,1802,1870,littérature jeunesse
2014_Louis-Edouard_En-finir-avec-Eddy-Bellegueule,2014,louis edouard,en finir avec eddy bellegueule,non_canon,male,1992,20--,mémoires et autobiographie
1880_Debans-Camille_Les-Drames-a-toute-vapeur,1880,debans camille,les drames a toute vapeur,non_canon,male,1834,1910,nouvelles
1998_Germain-Sylvie_Tobie-des-marais,1998,germain sylvie,tobie des marais,canon,female,1954,20--,
1850_Bassanville-Anais-de_Le-Soir-et-le-matin-de-la-vie-ou-Conseils-aux-jeunes-filles,1850,bassanville anais de,le soir et le matin de la vie ou conseils aux jeunes filles,non_canon,female,1802,1884,nouvelles
2001_Vargas-Fred_Pars-vite-et-reviens-tard,2001,vargas fred,pars vite et reviens tard,non_canon,female,1957,20--,policier
1840_Dumas-Alexandre_Les-aventures-de-John-Davys,1840,dumas alexandre,les aventures de john davys,canon,male,1802,1870,roman d'aventures
1937_Giono-Jean_Batailles-dans-la-montagne,1937,giono jean,batailles dans la montagne,canon,male,1895,1970,fantastique
1886_Witt-Henriette-de_Scenes-historiques,1886,witt henriette de,scenes historiques,non_canon,female,1829,1908,roman historique
1866_Feuillet-Octave_Monsieur-de-Camors,1866,feuillet octave,monsieur de camors,non_canon,male,1821,1890,
1876_Bastide-Jenny_Le-Marquis-Roger,1876,bastide jenny,le marquis roger,non_canon,female,1792,1854,
2001_Houellebecq-Michel_Plateforme,2001,houellebecq michel,plateforme,canon,male,1956,20--,
1993_Bergounioux-Pierre_Le-Grand-Sylvain,1993,bergounioux pierre,le grand sylvain,canon,male,1949,20--,
1897_Boylesve-Rene_Sainte-Marie-des-Fleurs,1897,boylesve rene,sainte marie des fleurs,non_canon,male,1867,1926,mémoires et autobiographie
1881_Martignat-Mlle-de_Ginette,1881,martignat mlle de,ginette,non_canon,female,18??,1???,littérature jeunesse
2008_Nothomb-Amelie_Ni-d-Eve-ni-d-Adam,2008,nothomb amelie,ni d eve ni d adam,canon,female,1966,20--,mémoires et autobiographie
1882_Verne-Jules_L-Ecole-des-Robinsons,1882,verne jules,l ecole des robinsons,canon,male,1828,1905,roman d'aventures
1898_Ivoi-Paul-d-_La-Capitaine-Nilia,1898,ivoi paul d ,la capitaine nilia,non_canon,male,1856,1915,roman d'aventures
1970_Delbo-Charlotte_Auschwitz-et-apres_II--Une-connaissance-inutile,1970,delbo charlotte,auschwitz et apres,canon,female,1913,1985,mémoires et autobiographie
1834_Hugo-Victor_Claude-Gueux,1834,hugo victor,claude gueux,canon,male,1802,1885, nouvelles 
1927_Bourget-Paul_Nos-actes-nous-suivent_tome-2,1927,bourget paul,nos actes nous suivent,canon,male,1852,1935,
1856_Feval-Paul_La-Louve_Tome-I,1856,feval paul,la louve,non_canon,male,1816,1887,roman d'aventures
1948_Barjavel-Rene_Le-diable-l-emporte,1948,barjavel rene,le diable l emporte,non_canon,male,1911,1985,science-fiction
1905_Ramuz-Charles-Ferdinand_Aline,1905,ramuz charles ferdinand,aline,canon,male,1878,1947,
1861_Maricourt-Rene-Du-Mesnil_Un-coin-de-la-vieille-Picardie-ou-les-Arquebusiers-de-Senlis,1861,maricourt rene du mesnil,un coin de la vieille picardie ou les arquebusiers de senlis,non_canon,male,1829,1893,roman historique
2011_Abecassis-Agnes_Le-theoreme-de-cupidon,2011,abecassis agnes,le theoreme de cupidon,non_canon,female,1972,20--,roman sentimental
1897_Lemonnier-Camille_L-homme-en-amour,1897,lemonnier camille,l homme en amour,non_canon,male,1844,1913,
1860_Goncourt-Edmond-de-Goncourt-Jules-de_Charles-Demailly,1860,goncourt edmond de goncourt jules de,charles demailly,canon,male,1822,1896,
1843_Balzac-Honore-de_Le-Cure-de-Tours,1843,balzac honore de,le cure de tours,canon,male,1799,1850,cycles et séries
1901_Lorrain-Jean_Monsieur-de-Phocas-Astarta--Roman,1901,lorrain jean,monsieur de phocas astarta  roman,canon,male,1855,1906,
1958_San-Antonio_En-long-en-large-et-en-travers,1958,san antonio,en long en large et en travers,non_canon,male,1921,2000,érotisme
1842_Balzac-Honore-de_La-Vendetta,1842,balzac honore de,la vendetta,canon,male,1799,1850,cycles et séries
1847_Collin-de-Plancy-Jacques_Legende-du-Juif-Errant,1847,collin de plancy jacques,legende du juif errant,non_canon,male,1794,1881,roman historique
1837_Sand-George_Mauprat,1837,sand george,mauprat,canon,female,1804,1876,roman historique
1880_Zola-Emile_Nana,1880,zola emile,nana,canon,male,1840,1902,cycles et séries
1881_Sand-George_Jeanne,1881,sand george,jeanne,canon,female,1804,1876,
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-2,1831,signol alphonse macaire stanislas,le chiffonnier,non_canon,male,1800,1830,
1927_Leroux-Gaston_Mister-Flow,1927,leroux gaston,mister flow,non_canon,male,1868,1927,policier
1833_Corbiere-Edouard_La-mer-et-les-marins-Scenes-maritimes,1833,corbiere edouard,la mer et les marins scenes maritimes,non_canon,male,1793,1875,roman d'aventures
